date,v
1949-05-16 00:00:00+00:00,176.21
1949-05-17 00:00:00+00:00,174.8
1949-05-18 00:00:00+00:00,172.53
1949-05-19 00:00:00+00:00,171.34
1949-05-20 00:00:00+00:00,169.2
1949-05-23 00:00:00+00:00,171.85
1949-05-24 00:00:00+00:00,172.75
1949-05-25 00:00:00+00:00,171.53
1949-05-26 00:00:00+00:00,170.43
1949-05-27 00:00:00+00:00,172.76
1949-05-30 00:00:00+00:00,176.21
1949-05-31 00:00:00+00:00,176.52
1949-06-01 00:00:00+00:00,175.97
1949-06-02 00:00:00+00:00,174.76
1949-06-03 00:00:00+00:00,175.48
1949-06-06 00:00:00+00:00,174.92
1949-06-07 00:00:00+00:00,173.83
1949-06-08 00:00:00+00:00,171.53
1949-06-09 00:00:00+00:00,170.15
1949-06-10 00:00:00+00:00,167.98
1949-06-13 00:00:00+00:00,165.27
1949-06-14 00:00:00+00:00,158.98
1949-06-15 00:00:00+00:00,153.81
1949-06-16 00:00:00+00:00,157.8
1949-06-17 00:00:00+00:00,160.13
1949-06-20 00:00:00+00:00,155.45
1949-06-21 00:00:00+00:00,152.99
1949-06-22 00:00:00+00:00,155.01
1949-06-23 00:00:00+00:00,155.76
1949-06-24 00:00:00+00:00,154.04
1949-06-27 00:00:00+00:00,150.58
1949-06-28 00:00:00+00:00,147.13
1949-06-29 00:00:00+00:00,146.14
1949-06-30 00:00:00+00:00,146.92
1949-07-01 00:00:00+00:00,147.37
1949-07-04 00:00:00+00:00,149.14
1949-07-05 00:00:00+00:00,146.52
1949-07-06 00:00:00+00:00,144.18
1949-07-07 00:00:00+00:00,143.66
1949-07-08 00:00:00+00:00,142.16
1949-07-11 00:00:00+00:00,135.84
1949-07-12 00:00:00+00:00,134.8
1949-07-13 00:00:00+00:00,140.02
1949-07-14 00:00:00+00:00,141.28
1949-07-15 00:00:00+00:00,142.29
1949-07-18 00:00:00+00:00,147.23
1949-07-19 00:00:00+00:00,148.55
1949-07-20 00:00:00+00:00,147.09
1949-07-21 00:00:00+00:00,145.97
1949-07-22 00:00:00+00:00,145.67
1949-07-25 00:00:00+00:00,144.88
1949-07-26 00:00:00+00:00,144.66
1949-07-27 00:00:00+00:00,145.47
1949-07-28 00:00:00+00:00,145.51
1949-07-29 00:00:00+00:00,144.59
1949-08-01 00:00:00+00:00,145.63
1949-08-02 00:00:00+00:00,150.0
1949-08-03 00:00:00+00:00,154.46
1949-08-04 00:00:00+00:00,155.57
1949-08-05 00:00:00+00:00,154.24
1949-08-08 00:00:00+00:00,156.46
1949-08-09 00:00:00+00:00,157.68
1949-08-10 00:00:00+00:00,159.3
1949-08-11 00:00:00+00:00,162.75
1949-08-12 00:00:00+00:00,164.73
1949-08-15 00:00:00+00:00,159.0
1949-08-16 00:00:00+00:00,159.14
1949-08-17 00:00:00+00:00,158.23
1949-08-18 00:00:00+00:00,158.17
1949-08-19 00:00:00+00:00,158.81
1949-08-22 00:00:00+00:00,160.51
1949-08-23 00:00:00+00:00,162.02
1949-08-24 00:00:00+00:00,164.34
1949-08-25 00:00:00+00:00,167.64
1949-08-26 00:00:00+00:00,173.2
1949-08-29 00:00:00+00:00,173.22
1949-08-30 00:00:00+00:00,174.1
1949-08-31 00:00:00+00:00,175.18
1949-09-01 00:00:00+00:00,176.89
1949-09-02 00:00:00+00:00,173.0
1949-09-05 00:00:00+00:00,172.21
1949-09-06 00:00:00+00:00,172.41
1949-09-07 00:00:00+00:00,171.89
1949-09-08 00:00:00+00:00,170.11
1949-09-09 00:00:00+00:00,168.86
1949-09-12 00:00:00+00:00,172.23
1949-09-13 00:00:00+00:00,171.25
1949-09-14 00:00:00+00:00,169.87
1949-09-15 00:00:00+00:00,168.3
1949-09-16 00:00:00+00:00,162.54
1949-09-19 00:00:00+00:00,167.07
1949-09-20 00:00:00+00:00,163.94
1949-09-21 00:00:00+00:00,162.22
1949-09-22 00:00:00+00:00,163.0
1949-09-26 00:00:00+00:00,162.49
1949-09-27 00:00:00+00:00,160.41
1949-09-28 00:00:00+00:00,160.61
1949-09-29 00:00:00+00:00,162.07
1949-09-30 00:00:00+00:00,163.29
1949-10-03 00:00:00+00:00,160.72
1949-10-04 00:00:00+00:00,153.7
1949-10-05 00:00:00+00:00,153.0
1949-10-06 00:00:00+00:00,153.4
1949-10-07 00:00:00+00:00,156.84
1949-10-10 00:00:00+00:00,154.16
1949-10-11 00:00:00+00:00,151.87
1949-10-12 00:00:00+00:00,150.42
1949-10-13 00:00:00+00:00,147.66
1949-10-14 00:00:00+00:00,146.97
1949-10-17 00:00:00+00:00,144.44
1949-10-18 00:00:00+00:00,143.45
